Title,Company,Location,Salary,URL,Description
Machine Learning Engineer Graduate (Trust and Safety Engineering) - 2027 Start,SEEK Grad,Sydney NSW,Not listed,https://au.seek.com/job/92137031,"Team Introduction
Building a world where people can safely discover, create and connect. The Trust & Safety (T&S) team at TikTok helps ensure that our global online community is safe and empowered to create and enjoy content across all of our applications. We have invested heavily in human and machine-based moderation to remove harmful content quickly and often before it reaches our general community.

We are looking for talented individuals to join our team in 2027. As a graduate, you will get opportunities to pursue bold ideas, tackle complex challenges, and unlock limitless growth. Launch your career where inspiration is infinite at our Company.

Successful candidates must be able to commit to an onboarding date by end of year 2027. Please state your availability and graduation date clearly in your resume.

Candidates can apply to a maximum of two positions and will be considered for jobs in the order you apply. The application limit is applicable to our Company and its affiliates' jobs globally. Applications will be reviewed on a rolling basis - we encourage you to apply early.

As a Machine Learning Engineer, you'll have the chance to work with our clients and teams to address key business problems and identify areas of growth for the company. With your education and experience, you will be able to take on real-world challenges from day one.

Responsibilities

Work with our world-class engineers to build industry-leading trust and safety systems for TikTok
Develop and build up highly-scalable classifiers, tools, models and algorithms leveraging cutting-edge machine learning, computer vision and data mining technologies
Improve our trust and safety strategy and work on model iterations
Collaborate with cross-functional teams to protect TikTok globally

Qualifications

Minimum Qualifications:

Individuals who are completing or have recently completed a Bachelor’s/Master’s degree in Software Development, Computer Science, Computer Engineering, or a related technical discipline.
Solid knowledge in at least one of the following areas: machine learning, pattern recognition, NLP, data mining, or computer vision
Firm understanding of data structures and algorithms
Great communication and teamwork skills

Preferred Qualifications:

Passion about techniques and solving challenging problems
Previous experience in applications of machine learning, pattern recognition, NLP, data mining, or computer vision 
Currently pursuing your PhD or Master degree in Computer Science or related engineering field.

By submitting an application for this role, you accept and agree to our global applicant privacy policy, which may be accessed here: https://careers.tiktok.com/legal/privacy.

If you have any questions, please reach out to us at apa••••••••••••••@tiktok.com"
Graduate AI Engineer,Earth AI,Alexandria,"$80,000 – $95,000 per year",https://au.seek.com/job/91913420,"EARTH AI is a fast-growing tech startup transforming the way critical metals are discovered. Founded in 2016 in Sydney, we are on a mission to secure the future of technology and infrastructure by responsibly sourcing the metals essential for global advancement. Using cutting-edge technology, we identify and develop new metal deposits with unmatched efficiency and sustainability. Our vision is to lead the industry by discovering and owning the majority of future metal deposits while becoming the most advanced, efficient, and responsible metal commodity company in the world.

About the Role

Earth AI is hiring Graduate AI Engineers to support the development of industry-leading applied AI/ML systems for mineral exploration.

This role focuses on building and improving models and agents using real-world geoscience datasets and contributing to modular AI workflows that support company-wide decision-making.

You will work closely with our Senior AI researcher, data engineers and geoscientists to develop practical, production-oriented AI components that are actively used across the business.

This is a hands-on role suited to candidates who are motivated to solve complex problems, take ownership of their work, and operate effectively in an evolving, high-impact environment.

Key responsibilities:

Develop and evaluate machine learning models/agents on:

geochemical data

geophysical data

operational and portfolio data

reports and unstructured sources

Be responsible for specialised modular AI components, in the form of AI- agents and/or classical ML models.

Contribute to the development of systems that integrate multiple models and data sources into cohesive workflows.

Gather requirements, build domain understanding, run experiments, validate outputs, and iterate based on results.

Work with real-world, imperfect datasets and translate them into usable model inputs.

Write clean, maintainable Python code and contribute to shared codebases and internal tooling.




About You

Degree in:

Computer Science (AI/ML/Data specialisation only)

Software Engineering (AI/ML/Data specialisation only)

Information Technology (AI/ML/Data specialisation only)

Artificial Intelligence

Data Science

or an AI-related quantitative/engineering discipline

Strong understanding of:

Machine learning fundamentals

Statistics and data analysis

Agentic AI and LLMs

Retrieval-augmented generation (RAG), Multi-agent collaboration (MAC) and Domain-specific fine-tuning

Proficiency in Python, including NumPy, Pandas, scikit-learn, PyTorch, etc.

Experience working with structured and/or unstructured datasets under real-world constraints (incomplete, noisy, or inconsistent data)

Familiarity with Software Development practices and Service-oriented modular architectures

Demonstrated ability to reason about systems in alignment with

service/function delivery.




Preferred

Exposure to:

LLMs, agents, or multi-step AI workflows

building end-to-end ML pipelines

Familiarity with:

version control (Git)

software engineering tools and workflows

integration of AI outcomes into software products

Hands-on experience with applying emerging AI/Data technologies to real-world applications.




What We Look For

We are looking for candidates who demonstrate:

Self-motivation – able to take initiative and drive work forward without constant direction

Critical thinking – capable of questioning assumptions and reasoning through complex problems

Attention to detail – especially when working with noisy or imperfect data

Comfort with ambiguity – able to operate effectively without fully defined problems or solutions

Ownership mindset – takes responsibility for outcomes, not just tasks

Growth orientation – motivated to learn quickly and improve through hands-on work




Why Join Us:

Growth Opportunities: We support professional development and career advancement;

Collaborative Environment: Work with a team of passionate and supportive colleagues;

Competitive compensation package, plus quarterly performance bonus;

Team lunches;

Company retreats. 


"
Ai Machine Learning Software Developer,GP Graders,Mount Waverley,Not listed,https://au.seek.com/job/92010023,"About Us

We are an Australian Ag-tech company developing advanced fresh produce grading and quality assessment technology used by growers and packhouses to improve yield, consistency, and profitability. Our systems combine hardware, computer vision, and machine learning with hard real-time constraints, in real‑world agricultural environments.

We’re growing our engineering team and are looking for a Machine Learning Software Developer who wants to work on applied ML problems in real world applications.




The Role

You will design, build, and deploy machine learning models that sit at the heart of our fruit grading technology. This role is hands‑on and end‑to‑end: from data exploration and model development through to production deployment on real systems.

You’ll work closely with software engineers, hardware engineers, and product teams to deliver robust ML solutions that perform reliably in challenging, real‑world conditions.




What You’ll Bring


PhD in Computer Vision, Robotics, or related field

2 years’ industry experience (ideal: PhD + some commercial exposure)

Strong grounding in mathematics, algorithms, and 3D problem solving

Experience working with sensor data (LIDAR, cameras, etc.)

Strong Python skills (language less important than thinking ability)




Key Responsibilities

Develop and deploy machine learning and computer vision models for fresh produce grading and quality assessment

Work with image, sensor, and classification data to improve accuracy, speed, and robustness

Build and maintain ML pipelines (training, validation, inference, monitoring)

Optimise models for production environments (latency, memory, hardware constraints)

Collaborate with cross‑functional teams to integrate ML into production software

Continuously evaluate and improve model performance using real‑world data

Contribute to technical direction and best practices in ML development


"
Graduate AI Engineer,Optic Digital,Adelaide SA,Not listed,https://au.seek.com/job/92024918,"Let’s not beat around the bush, we have a job vacancy, and we need you! We like to think of this role as an epic opportunity to bring your skills and expertise to the table, grow your career, and create some cool work stories along the way. So, before we lose you in the usual job advert fluff, we’ll get to the nuts and bolts of the opportunity…

What's on offer?

We are looking for a highly capable Graduate AI Engineer to join our Adelaide-based team within a leading electronic security integrator across Australia and New Zealand. This role offers a rare opportunity to apply artificial intelligence and machine learning techniques to real-world security challenges, particularly in video analytics and intelligent surveillance systems. 

You will work on the development, testing, training and deployment of AI-enabled solutions across CCTV cameras, Video Management Systems (VMS), and related platforms. You will collaborate closely with internal engineering teams, external technology partners and customers, contributing to cutting-edge projects that are deployed in live operational environments.

As a full-time permanent position, this role offers strong professional development pathways, exposure to advanced electronic security systems, as well as the opportunity to help build new AI-driven capabilities within a growing technology-focused organisation. 

Duties include, but not limited to:

Design, develop and maintain AI-enabled advanced analytics solutions with a focus on computer vision and video analytics.
Train, test, validate and optimise models for deployment within CCTV cameras, edge devices, along with Physical Access Control and Video Management Systems. 
Develop software components and pipelines to support AI model integration, deployment and lifecycle management.
Who’s the client?
As you may know, we (Optic Digital) are part of Optic Security Group (OSG).  We are OSG’s technology talent and IT division and with that, we have the privilege of recruiting this opportunity for them. So, you know about Optic Digital...but who are OSG? Let us tell you...

Optic Security Group is Australasia’s most technically advanced converged Enterprise Security Risk Management Group, working with over 1000 customers in both Australia & New Zealand. We design, install and maintain security solutions for Government, Defence, critical infrastructure organisations, and other enterprise customers.

Our mission is to enable our customers to achieve their missions by keeping their people, information, infrastructure, and assets safe. We provide comprehensive IP networked and integrated security systems, including but not limited to intrusion detection, access control, video surveillance and advanced analytics. We have over 30 years of proven expertise in tailoring award-winning solutions to meet a wide array of customer needs.

Keen to know more, head over to www.opticsecuritygroup.com and check them out.

What you'll bring

You'll possess strong analytical and problem-solving skills, while also possessing the ability to work independently while contributing effectively within a multidisciplinary team. You'll be curious and enthusiastic to learn new technologies and domains.

Postgraduate qualification (Graduate Diploma, Masters or equivalent) with coursework in Artificial Intelligence, Machine Learning, Data Science, or related field.
Strong foundational knowledge of machine learning principles and model development.
Demonstrated capability or academic focus in computer vision, image processing, or video analytics. 
Proficiency in one or more relevant programming languages (e.g. Python).
Familiarity with common AI/ML frameworks (e.g. PyTorch, TensorFlow, OpenCV or similar).
Understandings of software development practices, version control and testing methodologies.
Exposure to CCTV systems, Video Management Systems (VMS) or other electronic security platforms? Bonus! Experience deploying AI models to edge devices or embedded systems? Ideal!

The small print

Applications close 08.06.2026 and can only be submitted via Seek.

Please note, only applicants that are Australian Citizens or Permanent Residents will qualify for the clearance required to undertake this role.

Applicants will need to make themselves available for interviews in Adelaide to be considered.

For any questions regarding the role, please get in touch with Andrea at and•••••••@opticdigital.com."
Analytics Graduate - 2027 Graduate Program,Kmart,Melbourne VIC,Not listed,https://au.seek.com/job/92171166,"Brighter futures start here.

What if your first role in analytics gave you the chance to solve real business problems - and influence decisions that impact millions of customers every week?

As an Analytics Graduate in our Advanced Analytics team, you’ll work at the intersection of data, technology, and retail - turning insights into action across a fast-paced, high-impact environment.

Why this role is for you

This is more than analysing data - it’s about solving problems, influencing decisions and driving real impact across the business.

You’ll:
• Work on real business challenges across customer, merchandise and operations
• Apply advanced analytics techniques to solve complex problems
• Partner with stakeholders to turn insights into action
• Gain exposure to cutting-edge tools and technologies, including machine learning and AI
• Build a strong foundation for a long-term career in analytics

What you’ll experience

Across your rotations, you’ll gain hands-on experience across key areas of finance and how they connect to the broader business.

You’ll:

• Analyse large datasets to uncover trends, risks and opportunities
• Build models including forecasting, optimisation and machine learning solutions
• Translate data into actionable insights that support business decision-making
• Work on analytics products that improve how we design, buy, move and sell products
• Collaborate with cross-functional teams to solve real retail problems
• Present insights and recommendations to stakeholders
• Gain exposure to global teams, including our KAS Services team in Bangalore

About the program

Our 2-year graduate program gives you real experience from day one, with 3–4 rotations across the Advanced Analytics team and a permanent role at the end.

You’ll be supported by experienced leaders, challenged to grow, and part of a cohort learning alongside you.

Brighter futures really do start here.

About you

We’re looking for graduates who are curious, analytical and motivated to solve real problems.

You might be studying:
• Mathematics, Statistics, Actuarial Studies
• Economics or Business Analytics
• Data Science, Computer Science or a related field

You’ll thrive if you:
• Enjoy working with data and solving complex problems
• Have strong analytical and critical thinking skills
• Are curious and always looking for better ways to do things
• Can communicate insights clearly to a range of stakeholders
• Have an interest in how data can drive business decisions
• Have a genuine interest in retail (experience in retail or hospitality is a bonus!)

To be eligible for our 2027 program, you'll need to:

Be an Australian or New Zealand citizen or have Australian permanent residency at the time of application.

Have completed an undergraduate or postgraduate degree in the past 3 years (i.e., 2024, 2025, or 2026) or are due to complete your degree by the end of January 2027.

Be able to commence full-time employment in Melbourne in February 2027.

What We Offer

Flexible hybrid working options through our Flex Where, Flex When, Flex Well policy, spending 60% of your week in our National Office, Stores, or DCs.

Great career opportunities across the broader Wesfarmers Group.

Inclusive leave and ongoing support for team members of all backgrounds and family circumstances.

Free onsite parking when you're required to come into the office.

Opportunity to participate in a bonus program.

A team member discount card for Kmart, Target, Bunnings, and Officeworks.

A free OnePass membership offering free delivery across Kmart and Target on eligible products.

Access to our awesome benefits program with exclusive discounts and benefits in entertainment, travel, lifestyle, and health.

Reflection room for prayer, meditation, or personal time.

Option to purchase shares through a salary sacrifice arrangement with Wesfarmers, Kmart Group’s parent company.

Applications close at 11:59pm on Sunday, 21st June.

A Place You Can Belong

At Kmart and Target, we celebrate the rich diversity of the communities in which we operate. We are committed to creating inclusive and safe environments where all our team members can contribute and succeed. We believe that all team members should feel valued, respected, and safe, and strive to ensure our recruitment process is accessible and welcoming, with applications encouraged from all candidates

We believe everyone should have the opportunity to be their best, whether applying for a role or working at the Kmart Group. Let us know about any workplace adjustments you need by emailing div••••••@kmart.com.au"
"Machine Learning Engineer Intern, Trust and Safety Engineering - 2027 Start",SEEK Grad,Sydney NSW,Not listed,https://au.seek.com/job/92136962,"Team Introduction

Building a world where people can safely discover, create and connect. The Trust & Safety (T&S) team at TikTok helps ensure that our global online community is safe and empowered to create and enjoy content across all of our applications. We have invested heavily in human and machine-based moderation to remove harmful content quickly and often before it reaches our general community. 

We are looking for talented individuals to join us for an internship in November/December 2026. Internships at our Company aim to offer students industry exposure and hands-on experience. Watch your ambitions become reality as your inspiration brings infinite opportunities at our Company.

Candidates can apply to a maximum of two positions and will be considered for jobs in the order you apply. The application limit is applicable to Our Company and its affiliates' jobs globally. Applications will be reviewed on a rolling basis - we encourage you to apply early.

Successful candidates must be able to commit to the following Internships

From December 2026 - February 2027 (onboard by 7 Dec 2026) 

As a Machine Learning Engineer, you'll have the chance to work with our clients and teams to address key business problems and identify areas of growth for the company. With your education and experience, you will be able to take on real-world challenges from day one.

Responsibilities

Build industry-leading content safety systems for TikTok;
Develop highly-scalable classifiers, tools, models and algorithms leveraging cutting-edge machine learning, computer vision and data mining technologies;
Understand product objectives and improve trust and safety strategy and model's performance;
Work with cross-functional teams to protect TikTok globally.

Qualifications

Minimum Qualifications

Currently pursuing a PhD in Computer Science, engineering or quantitative field;
Solid experience in at least one of the following areas: machine learning, pattern recognition, NLP, data mining, or computer vision; 

Preferred Qualifications

Experience in recommendation, search, advertising, or other related projects;
Published papers in the top AI conferences or journals is a plus, including KDD, IJCAI, WWW, WSDM, ICML, NeurIPS, CVPR, ECCV, ICCV, ACL, etc.;
Competition experience in machine learning, data mining, CV, NLP, etc.;
Good understanding of data structures and algorithms; - Passion for techniques and solving challenging problems. 

By submitting an application for this role, you accept and agree to our global applicant privacy policy, which may be accessed here: https://careers.tiktok.com/legal/privacy

If you have any questions, please reach out to us at apa••••••••••••••@tiktok.com"
Junior Statistical / ML Modeller,Cumming Technologies Pty Ltd,Brisbane QLD,"$85,000 – $100,000 per year",https://au.seek.com/job/92045753,"About the Role




This role sits at the heart of what we do. Our core activity is building trained statistical and machine learning models whose inputs are real-world datasets and whose outputs are other variables of interest that we use in the next stage of our core, end-to-end process. This process runs from raw data through to a complete, trained model:




data analysis  →  feature engineering & selection  →  model building & training




As a Junior Modeller you will work directly within this pipeline – taking existing datasets, developing data cleansing rules, engineering and selecting model features, and contributing to model building and selection. This is hands-on, practical work: you will be getting your hands dirty with large datasets on a daily basis, running analyses, testing ideas (most of which will not pan out), and iterating until something you develop genuinely works.

We are straightforward about the nature of this work: it is at times not glamorous, cutting-edge machine learning research, but it is what drives our success, and it requires someone who finds genuine satisfaction in doing it well and enthusiastically.




Key Responsibilities




Data Analysis & Cleansing

•      Explore, interrogate, and develop a thorough working understanding of our datasets.

•      Identify data quality issues and calculate appropriate cleansing and treatment rules.

•      Document data characteristics, anomalies, and cleansing decisions clearly and precisely.




Feature Engineering & Selection

•      Develop significant domain knowledge of our real-world modelling application.

•      Generate candidate model features from raw data through transformation, aggregation, and domain-informed derivation.

•      Apply feature selection techniques to identify the subset of features that improve model performance.

•      Maintain clear records of features tested, selection rationale, and outcomes.




Model Building & Evaluation

•      Build, train, and evaluate statistical and ML models using our internal tooling (primarily Stata, which is straightforward to learn if you have basic coding experience).

•      Contribute to model selection decisions, assessing candidate models against performance and profitability criteria.

•      Work with senior modellers to iterate on models based on evaluation results.




Collaboration & Documentation

•      Work closely with the wider modelling team, sharing findings clearly and contributing to peer review of each other’s work.

•      Maintain thorough, reproducible documentation of your analysis and modelling work.

•      Participate in team discussions about methodology, data, and results.


How to Apply

Please submit your CV and a short cover letter. In your cover letter, tell us briefly about a piece of data analysis or modelling work you have done – what you were trying to do, how you approached it, and what you found.

We are an equal opportunities employer and welcome applications from all backgrounds. Please let us know if you require any adjustments during the recruitment process."
Graduate Software Engineer,Smartpath Pty Ltd,Melbourne VIC,"$70,000 – $85,000 per year",https://au.seek.com/job/92084368,"Graduate Software Engineer

Melbourne VIC (Hybrid)
Full time

About the Role

Join Loc8 as a Graduate Software Engineer and start your career building real-world software used by organisations across Australia.

You'll work on products in the Asset Maintenance and Field Service space, contributing to systems that support thousands of users. From day one, you'll be part of a collaborative team, working alongside experienced engineers who will mentor you and help you grow your technical and professional skills.

What You'll Be Doing

Build and maintain software that delivers real value to customers

Collaborate with engineers and stakeholders to understand requirements and deliver reliable solutions

Write clean, maintainable, and well-tested code

Participate in code reviews, sprint planning, and team retrospectives

Debug issues and contribute to improving system performance and reliability

Continuously learn and apply modern development practices and tools

Suggest improvements to development workflows and team processes

About You

Recent graduate (or graduating soon) in Computer Science, Software Engineering, or a related technical field

Strong understanding of core software development concepts (e.g. APIs, databases, testing, version control)

Exposure to modern web development (through study, projects, or internships)

Strong problem-solving skills and attention to detail

Clear communication skills and a collaborative mindset

Curious, proactive, and motivated to learn

Must have Australian work rights

Nice to Have (but not required)

Experience with any modern language or framework (e.g. Java, TypeScript, Python)

Familiarity with cloud platforms (e.g. AWS)

Internship, personal projects, or open-source contributions

What We Offer

Competitive graduate salary + super

Flexible working arrangements, including work-from-home options

Mentoring from experienced engineers and real ownership of your work

A small, close-knit team where your contributions make a genuine impact

Exposure to production systems, modern tooling, and real customers

About Loc8

Loc8 is an Australian SaaS company building software for organisations that manage assets and field teams.

Our enterprise platform, Loc8 (www.loc8.com), is used across industries including facilities, mining, utilities, and government to inspect and maintain assets at scale.

Our SME platform, JobHippo (https://www.jobhippo.com.au) helps trade businesses streamline quoting, job management, invoicing, and team communication.


"
Graduate Data Engineer,NTI Ltd,Brisbane QLD,Not listed,https://au.seek.com/job/92161073,"We are currently seeking a Graduate in Data Engineering who is interested in building a career within an industry leading Australian Employer of Choice. This is a 12-month fixed term role, with potential to transition to a permanent position for the right candidate.

Joining NTI's Graduate team, you'll apply your academic foundations to real-world data engineering challenges, contributing to solutions that underpin NTI's analytical, actuarial and business intelligence platforms. You'll work alongside experienced engineers across IT and analytics teams, building capability across data pipelines, ETL processes, cloud data infrastructure and data warehousing. Supported by both your team and a broader Graduate cohort, you'll accelerate your growth in a collaborative environment — contributing to high-impact initiatives that drive operational efficiency and deliver high-quality, trusted data assets across the business.

About the role

Day to day, you will:

Work with the team to design, develop and test data pipelines and ETL processes that move and transform data between NTI systems, external partners and analytical platforms

Write and optimise SQL queries and scripts to extract, transform and load data, supporting data warehouse development and maintenance

Contribute to the automation of routine data processes to improve scalability and reduce manual effort

Learn to design and interact with APIs and data source endpoints, ingesting and translating data sets for use in internal modelling and reporting

Apply NTI's data governance and information security standards, and create and maintain technical documentation for data solutions

Collaborate with stakeholders across IT, Insights & Analytics, and the business to understand requirements and translate them into technical solutions

Explore and adopt modern data engineering tools, cloud platforms and best practices as part of NTI's evolving data infrastructure

What we would like to see from you

From a personal perspective, we'd love to see:

A strong hands-on attitude towards understanding new concepts and learning

Proactive planners and communicators who are not afraid of asking questions and challenging the status quo

A high level of analytical problem-solving ability

Team players who have a desire to work as part of a high performing team

From a technical perspective, we'd love to see the following in your application:

Undergraduate degree in Computer Science, Engineering, Information Technology or a related discipline with a strong academic record

Professional working experience through internships, work placements, industry projects or volunteering activities (desired but not essential)

Proven SQL programming skills and comfort working with relational databases

Familiarity with version control (Git), cloud data platforms (e.g. Azure, AWS or GCP), and data warehousing or lakehouse concepts

Exposure to ETL concepts, data pipeline tools or transformation frameworks (e.g. SSIS, dbt, or similar) will be highly regarded

Experience or familiarity with Python scripting and working with APIs or data source endpoints will be highly regarded

An understanding of data modelling principles, data governance practices, and the ability to document technical solutions clearly

What to expect when you're a part of the NTI family:

Boasting close to 50 years' experience and backed by two of Australia's largest insurers (CGU and Vero), you'll enjoy stability, a great brand reputation and a team of experts to learn from. We are committed to being a Best Employer of the Best People and as such, we offer:

A real and tangible commitment to your development and ongoing study

Access to discounts on over 350 retailers across Australia

The ability to apply for flexible working arrangements (subject to relevant NTI policies) + more!

At NTI, we're committed to providing an environment where our team members feel comfortable to be themselves and valued for their unique perspectives and contributions.

Ready to apply? We can't wait to read your application!

We'd love for you to apply with a resume and cover letter explaining why you'd like to join our Graduate team.

Our application process is tailored to each role based on the unique requirements. You may be required to complete phone and face to face interviews, and qualification and reference checks as part of the application process."
Graduate Developer,Blackbook.AI,Brisbane QLD,Not listed,https://au.seek.com/job/91829219,"Overview

Due to increased demand we have another opening for a Graduate. So if you are a tech-savvy graduate looking to kickstart your career in the exciting world of artificial intelligence, automation, data or digital? Blackbook.AI, a leading technology consulting company, is seeking ambitious graduates to join us asap.

What you'll be doing

As part of our team, you'll have the opportunity to work within one or more of the following practices:

Data Science: Our team leverages Classical ML, Deep Learning, Neural Networks to solve customer problems.

Applied/Gen AI: Our team leverages cloud based services such as AI Foundry, Mosaic, Bedrock, Open AI, Copilot to craft solutions to solve customer problems.

Data: Develop your data engineering and analytics skills, to extract, transform, merge, model, analyse and present insights for our customers.

Automation: From Robotic Process to Agentic Automation, design, develop, manage automations for our customers.

Digital: Develop, Integrate, Test and Support Digital Solutions.

Participate in a our hands on driven training program to develop your technical and interpersonal skills.

Collaborate with cross-functional teams to design and implement innovative AI solutions for our clients

Continuously learn and stay up-to-date with the latest advancements in technology

What we're looking for

A recently completed bachelor's degree in Engineering, Computer Science, Data Science, or a related technical field

Strong problem-solving and analytical skills, with a keen interest in AI and emerging technologies

A collaborative mindset and the ability to work effectively in a team environment

What we offer

At Blackbook.AI, we are committed to providing our employees with a supportive and stimulating work environment. As a Graduate Program participant, you'll have access to a range of benefits, including:

Competitive salary and bonuses

Ongoing training and development opportunities

Mentorship from industry-leading experts

Flexible work arrangements and a focus on work-life balance

Access to the latest AI technologies and tools

Opportunities for career progression and growth within the company

About us

Blackbook.AI is a dynamic and innovative AI driven consulting company, dedicated to pushing the boundaries of what's possible with artificial intelligence. Our mission is to create transformative AI solutions that improve lives and drive positive change. We are a team of passionate and dedicated individuals, united by our shared love of technology and our commitment to making a difference.

Locations we are hiring

Brisbane

About you

Mandatory:

Must have full Australian working rights

Have graduated 2023 to December 2025


Apply now to be a part of our exciting Blackbook.AI Graduate Program and embark on a rewarding career in the cutting-edge field of artificial intelligence leveraged solutions.


"
